	영화명	감독	주연배우	평점	평가자수	상영시간
1226	세일즈맨	아쉬가르 파라디	"['샤하브 호세이니', ' 타라네 앨리두스티']"	7.95	176	123
1227	셀	토드 윌리엄스	"['존 쿠삭', ' 사무엘 L. 잭슨', ' 이사벨 퍼만']"	4.31	383	97
1228	셀프/리스	타셈 싱	"['매튜 구드', ' 라이언 레이놀즈', ' 미셀 도커리', ' 벤 킹슬리']"	7.75	1324	117
1229	셜록 놈즈	존 스티븐슨	"['조니 뎁', ' 에밀리 블런트', ' 제임스 맥어보이']"	8.48	280	86
1230	셜록홈즈 : 그림자 게임	가이 리치	"['로버트 다우니 주니어', ' 주드 로']"	8	2874	128
1231	셰이프 오브 워터: 사랑의 모양	기예르모 델 토로	"['샐리 호킨스', ' 마이클 섀넌', ' 리차드 젠킨스', ' 옥타비아 스펜서', ' 마이클 스털버그', ' 더그 존스']"	8.34	5707	123
1232	소공녀	전고운	"['나문희', ' 김수안']"	7.67	2059	104
1233	소나기	안재훈	"['노강민', ' 신은수']"	6.66	128	48
1234	소녀	최진성	"['혼다 츠바사', ' 야마모토 미즈키']"	7.37	705	119
1235	소녀괴담	오인천	"['강하늘', ' 김소은']"	5.48	2584	90
1236	소년시절의 너	증국상	"['주동우', ' 이양천새']"	9.26	1808	135
1237	소리꾼	조정래	"['이봉근', ' 이유리', ' 김하연', ' 박철민', ' 김동완', ' 김민준']"	8.41	1299	130
1238	소리도 없이	홍의정	"['유아인', ' 유재명', ' 문승아']"	5.88	4808	99
1239	소셜포비아	홍석재	"['변요한', ' 이주승', ' 류준열', ' 하윤경', ' 유대형', ' 박근록', ' 오희준', ' 임지호', ' 김용준', ' 정재우']"	7.9	1912	102
1240	소수의견	김성제	"['윤계상', ' 유해진', ' 김옥빈']"	7.97	3871	126
1241	소스 코드	던칸 존스	"['제이크 질렌할', ' 미셸 모나한']"	9	6164	93
1242	소원	이준익	['이세영']	9.33	8598	12
1243	소피와 드래곤: 마법책의 비밀	마리나 네페도바	"['정유정', ' 김명준']"	4.19	166	72
1244	속닥속닥	최상훈	"['소주연', ' 김민규']"	5.01	2967	91
1245	손님	김광태	['곽민석']	6.48	6108	23
1246	송 투 송	테렌스 맬릭	"['마이클 패스벤더', ' 라이언 고슬링', ' 나탈리 포트만', ' 루니 마라']"	6.56	650	128
1247	송 포 유	폴 앤드류 윌리엄스	"['젬마 아터튼', ' 바네사 레드그레이브', ' 테렌스 스탬프']"	8.72	802	93
1248	쇠파리	안철호	"['김진우', ' 정인기', ' 이연두', ' 김희정', ' 이경영', ' 민성욱', ' 김태석', ' 정상협', ' 김영한', ' 안건우', ' 정수봉', ' 박사랑', ' 오유림']"	5.72	400	111
1249	쇼콜라	로쉬디 젬	"['오마 사이', ' 제임스 티에레']"	8.51	73	119
1250	수부라 게이트	스테파노 솔리마	"['엘리오 게르마노', ' 피에르프란체스코 파비노', ' 클라우디오 아멘돌라']"	7.34	203	134
1251	수상한 고객들	조진모	['류승범']	8.63	3612	124
1252	수상한 교수	웨인 로버츠	['조니 뎁']	6.85	127	90
1253	수상한 그녀	황동혁	"['심은경', ' 나문희', ' 박인환', ' 성동일', ' 이진욱']"	9.01	20666	124
1254	수상한 이웃	이상훈	"['오지호', ' 오광록', ' 손다솜', ' 성모', ' 유다미', ' 안지환', ' 영민', ' 강희']"	5.95	171	101
1255	수어사이드 스쿼드	데이비드 에이어	"['마고 로비', ' 이드리스 엘바', ' 존 시나', ' 조엘 킨나만', ' 실베스터 스탤론', ' 비올라 데이비스']"	7.06	2443	132
1256	수영장으로 간 남자들	질 를르슈	"['마티유 아말릭', ' 기욤 까네', ' 브누와 뽀엘부르드', ' 장 위그 앙글라드']"	8.87	171	122
1257	수퍼 소닉	제프 파울러	"['짐 캐리', ' 제임스 마스던', ' 벤 슈와츠', ' 티카 섬터']"	8.35	690	98
1258	순수의 시대	안상훈	"['신하균', ' 장혁', ' 강한나', ' 강하늘']"	6.32	3414	113
1259	순정	이은희	"['디오', ' 김소현', ' 연준석', ' 이다윗', ' 주아름', ' 김지호', ' 박해준', ' 박용우', ' 이대연']"	8.86	3006	113
1260	숲속으로	롭 마샬	"['안나 켄드릭', ' 조니 뎁', ' 에밀리 블런트', ' 크리스 파인', ' 루시 펀치', ' 메릴 스트립', ' 제임스 코든']"	4.94	2235	125
1261	슈팅걸스	배효민	"['정웅인', ' 이비안', ' 정예진', ' 정지혜']"	5.73	144	97
1262	슈퍼 빼꼼: 스파이 대작전	임아론	"['김태균', ' 최정현']"	8.31	610	77
1263	슈퍼 스파이: 수상한 임무	하비에르 페서	"['카라 엘레할데', ' 헌프리 토페라']"	5.29	104	91
1264	슈퍼 에이트	J.J. 에이브럼스	"['조엘 코트니', ' 카일 챈들러', ' 엘르 패닝', ' 조엘 맥키넌 밀러', ' 라일리 그리피스', ' 라이언 리', ' 가브리엘 바쏘', ' 자크 밀스']"	6.87	2057	112
1265	슈퍼 햄찌	주나 테나	"['이다은', ' 박성영']"	6.87	31	78
1266	슈퍼노바 지구 탈출기	캘런 브런커	"['브렌든 프레이저', ' 제시카 알바', ' 사라 제시카 파커', ' 랍 코드리']"	8.86	313	89
1267	슈퍼레이서 엔지	허선	"['손무성', ' 최대한', ' 김재정', ' 박송', ' 신준호']"	8	51	20
1268	슈퍼오리 : 태양을 지켜라	빅터 라키소프	"['박상우', ' 오은수', ' 방지원', ' 박정욱', ' 신정훈', ' 송영인']"	5.45	51	82
1269	슈퍼윙스 3D	올가 로패토	"['안드레이 메르즈리킨', ' 알렉세이 프란데티', ' 발렌틴 가프트', ' 안토니아 베레즈카', ' 알렉산드르 렌코브', ' 안피사 체크호바', ' 알렉산드르 골로빈', ' 알렉산드르 일린', ' 블라디미르 티기쵸브', ' 일리야 크보스티코브', ' 알렉산드르 시엠체브']"	8.34	235	76
1270	슈퍼처방전	대니 분	"['대니 분', ' 카드 므라드', ' 엘리스 폴']"	8.08	222	107
1271	슈퍼히어로	에두와르도 슐츠	['정우영']	7.12	41	96
1272	스노든	올리버 스톤	"['조셉 고든 레빗', ' 쉐일린 우들리']"	8.7	561	134
1273	스노우 화이트 앤 더 헌츠맨	루퍼트 샌더스	"['샤를리즈 테론', ' 크리스틴 스튜어트', ' 크리스 헴스워스']"	7.42	4014	127
1274	스누피: 더 피너츠 무비	스티브 마티노	"['빌 멜렌데즈', ' 노아 슈나프']"	7.92	1100	93
1275	스니치	릭 로먼 워	['리노 바비르']	8.42	991	20
1276	스물	이병헌	"['김우빈', ' 준호', ' 강하늘']"	7.58	9628	115
1277	스웨그	임성관	"['니엘', ' 이보림', ' 최규진']"	9.23	145	88
1278	스윗 프랑세즈	사울 딥	"['미셸 윌리엄스', ' 마고 로비', ' 크리스틴 스콧 토마스', ' 마티아스 쇼에나에츠']"	9.04	670	107
1279	스윙키즈	강형철	"['디오', ' 자레드 그라임스', ' 박혜수', ' 오정세', ' 김민호']"	8.41	12680	133
1280	스카이스크래퍼	로슨 마샬 터버	"['드웨인 존슨', ' 니브 캠벨']"	7.57	3773	102
1281	스카이포스 3D	토니 탕	"['아론 크렙스', ' 헤더 고든']"	7.34	77	81
1282	스케어리 스토리:어둠의 속삭임	안드레 외브레달	"['조 마가렛 콜렛티', ' 마이클 가르자', ' 오스틴 자주르', ' 오스틴 에이브람스']"	5.63	332	108
1283	스퀴시랜드	김태익	"['배정미', ' 남도형', ' 김선혜']"	6.8	25	87
1284	스크림 4G	웨스 크레이븐	"['니브 캠벨', ' 커트니 콕스', ' 데이빗 아퀘트', ' 엠마 로버츠', ' 헤이든 파네티어', ' 루시 헤일']"	5.86	426	110
1285	스킵트레이스: 합동수사	레니 할린	"['성룡', ' 판빙빙', ' 조니 녹스빌']"	6.5	284	107
1286	스타 이즈 본	브래들리 쿠퍼	"['브래들리 쿠퍼', ' 레이디 가가']"	9.19	7763	135
1287	스타워즈: 깨어난 포스	J.J. 에이브럼스	"['해리슨 포드', ' 마크 해밀', ' 캐리 피셔', ' 도널 글리슨', ' 그웬돌린 크리스티', ' 사이먼 페그', ' 오스카 아이삭', ' 막스 폰 시도우', ' 존 보예가', ' 데이지 리들리', ' 아담 드라이버']"	7.74	12736	135
1288	스타워즈: 라스트 제다이	라이언 존슨	"['데이지 리들리', ' 마크 해밀', ' 오스카 아이삭', ' 아담 드라이버', ' 캐리 피셔', ' 존 보예가']"	6.36	7176	152
1289	스타워즈: 라이즈 오브 스카이워커	J.J. 에이브럼스	"['존 보예가', ' 데이지 리들리', ' 아담 드라이버', ' 오스카 아이삭']"	6.69	3524	141
1290	스타트렉 다크니스	J.J. 에이브럼스	"['크리스 파인', ' 재커리 퀸토', ' 조 샐다나', ' 베네딕트 컴버배치', ' 칼 어번', ' 사이먼 페그', ' 안톤 옐친', ' 존 조', ' 앨리스 이브']"	8.97	8225	132
1291	스타트렉 비욘드	저스틴 린	"['크리스 파인', ' 사이먼 페그', ' 조 샐다나', ' 재커리 퀸토', ' 칼 어번', ' 안톤 옐친', ' 존 조', ' 이드리스 엘바', ' 소피아 부텔라']"	8.21	4222	122
1292	스테이션 7	클림 시펜코	"['파벨 데레비앙코', ' 마리야 미로노바', ' 블라디미르 브도비첸코프']"	8.8	486	119
1293	스텝 업: 올 인	트리시 시에	"['알리슨 스토너', ' 브리아나 에비건', ' 이자벨라 미코', ' 라이언 구즈먼', ' 애덤 G. 세바니']"	8	2190	111
1294	스텝업4 : 레볼루션	스콧 스피어	"['라이언 구즈먼', ' 캐서린 맥코믹']"	8.78	2910	98
1295	스톤	조세래	['예뢴 반 데 스톡']	8.12	847	20
1296	스톤	존 커랜	['예뢴 반 데 스톡']	8.12	847	20
1297	스트레스를 부르는 그 이름 직장상사	세스 고든	"['제이슨 서디키스', ' 제이슨 베이트먼', ' 찰리 데이']"	7.7	818	108
1298	스트레이트 아웃 오브 컴턴	F. 게리 그레이	"['오셔 잭슨 주니어', ' 코리 호킨스', ' 제이슨 밋첼']"	8.83	804	147
1299	스티브 잡스	대니 보일	"['마이클 패스벤더', ' 케이트 윈슬렛', ' 세스 로건']"	7.5	826	122
1300	스파이	이승준	['데이브 맥 3세']	7.5	2	106
1301	스파이	폴 페이그	['데이브 맥 3세']	7.5	2	106
1302	스파이 게임	마이클 앱티드	"['누미 라파스', ' 토니 콜렛', ' 올랜도 블룸', ' 마이클 더글라스', ' 존 말코비치']"	7.53	343	98
1303	스파이 브릿지	스티븐 스필버그	"['톰 행크스', ' 마크 라이런스', ' 에이미 라이언', ' 오스틴 스토웰']"	8.45	1722	141
1304	스파이더맨: 파 프롬 홈	존 왓츠	"['톰 홀랜드', ' 사무엘 L. 잭슨', ' 젠데이아 콜먼']"	8.32	14004	129
1305	스파이더맨: 홈 커밍	존 왓츠	"['톰 홀랜드', ' 마이클 키튼']"	8.36	18792	133
1306	스파이즈	기욤 이베르넬	"['박성영', ' 이다은', ' 서반석', ' 김보나']"	7.98	42	98
1307	스페이스 비트윈 어스	피터 첼섬	"['브릿 로버트슨', ' 칼라 구기노', ' 게리 올드만', ' 에이사 버터필드']"	7.5	545	121
1308	스포트라이트	토마스 맥카시	"['마크 러팔로', ' 마이클 키튼', ' 레이첼 맥아담스', ' 리브 슈라이버']"	8.94	2645	129
1309	스폰지밥 3D	폴 티비트	"['전태열', ' 이인성', ' 안토니오 반데라스', ' 클랜시 브라운']"	8.35	1554	92
1310	스푹스:MI5	바랫 낼러리	"['키트 해링턴', ' 제니퍼 엘', ' 피터 퍼스', ' 엘예스 가벨']"	6.55	243	101
1311	스플릿	최국희	['레나타 폴자크']	9	4495	11
1312	슬로우 비디오	김영탁	"['차태현', ' 남상미']"	7.77	6572	106
1313	슬리핑 위드 아더 피플	레슬리 헤드랜드	"['제이슨 서디키스', ' 알리슨 브리', ' 아담 스콧', ' 나타샤 리온', ' 아만다 피트']"	8.11	130	95
1314	슬립리스: 크리미널 나이트	바란 보 오다르	"['제이미 폭스', ' 미셸 모나한', ' 데이빗 하버', ' 더모트 멀로니', ' 가브리엘 유니온']"	6.25	139	95
1315	시간위의 집	임대웅	"['김윤진', ' 택연', ' 조재윤']"	7.58	1911	100
1316	시간이탈자	곽재용	"['임수정', ' 조정석', ' 이진욱']"	7.11	6736	107
1317	시동	최정열	"['마동석', ' 박정민', ' 정해인', ' 염정아', ' 최성은']"	7.58	10709	102
1318	시민 노무현	백재호	['노무현']	5.97	362	98
1319	시인 할매	이종은	"['김막동', ' 김점순', ' 박점례', ' 안기임', ' 윤금순', ' 양양금', ' 최영자', ' 김선자']"	9.63	142	86
1320	시인의 사랑	김양희	"['양익준', ' 전혜진', ' 정가람']"	8.08	413	109
1321	시즌 오브 더 위치: 마녀 호송단	도미닉 세나	"['니콜라스 케이지', ' 론 펄먼']"	6.66	1156	94
1322	시체가 돌아왔다	우선호	"['이범수', ' 류승범', ' 김옥빈']"	7.42	2719	110
1323	시카리오: 데이 오브 솔다도	스테파노 솔리마	"['베니시오 델 토로', ' 조슈 브롤린', ' 이사벨라 모너']"	8.42	2529	122
1324	시카리오: 암살자의 도시	드니 빌뇌브	"['에밀리 블런트', ' 조슈 브롤린', ' 베니시오 델 토로']"	8.33	3553	121
1325	시크릿 가든	마크 먼든	"['딕시 에저릭스', ' 콜린 퍼스', ' 줄리 월터스']"	7.61	150	100
1326	시크릿 레터	쥬세페 토르나토레	"['제레미 아이언스', ' 올가 쿠릴렌코']"	7.57	88	122
1327	시크릿 슈퍼스타	애드바이트 찬단	"['아미르 칸', ' 자이라 와심']"	9.23	209	150
1328	시크릿 인 데어 아이즈	빌리 레이	"['니콜 키드먼', ' 줄리아 로버츠', ' 딘 노리스', ' 치웨텔 에지오포']"	7.56	321	111
1329	식구	임영훈	"['신정근', ' 윤박', ' 장소연', ' 고나희']"	6.72	298	103
1330	신과 나: 100일간의 거래	팍품 웡품	['티라돈 수파펀핀요']	6.16	96	136
1331	신과함께-인과 연	김용화	"['하정우', ' 주지훈', ' 김향기', ' 마동석', ' 김동욱']"	7.71	40310	141
1332	신과함께-죄와 벌	김용화	"['하정우', ' 차태현', ' 주지훈', ' 김향기', ' 김동욱', ' 마동석']"	7.83	57870	139
1333	新극장판 이니셜D: 레전드3 -몽현-	히다카 마사미츠	"['미야노 마모루', ' 오노 다이스케', ' 나카무라 유이치', ' 우치다 마아야', ' 시라이시 미노루', ' 스와베 쥰이치', ' 사카구치 슈헤이', ' 히라타 히로아키']"	7.64	36	66
1334	신데렐라	케네스 브래너	"['카밀라 카베요', ' 니콜라스 갈리친', ' 빌리 포터', ' 매디 베일로']"	6.32	948	20
1335	신데렐라:마법 반지의 비밀	린 사우더랜드	"['사문영', ' 김혜성', ' 남도형']"	6.32	948	87
1336	신들의 전쟁	타셈 싱	['증효우']	6.46	3053	64
1337	신문기자	후지이 미치히토	"['심은경', ' 마츠자카 토리']"	8.02	378	113
1338	신밧드 더 무비	미야시타 신페이	"['송영인', ' 방지원', ' 오은수', ' 박상우', ' 신정훈']"	4.74	34	113
1339	신비아파트 극장판 하늘도깨비 대 요르문간드	변영규	"['조현정', ' 양정화', ' 김영은', ' 김채하']"	8.54	800	97
1340	신비아파트: 금빛 도깨비와 비밀의 동굴	김병갑	"['조현정', ' 김영은', ' 김채하', ' 양정화']"	8.72	2138	68
1341	신비한 동물들과 그린델왈드의 범죄	데이빗 예이츠	"['에디 레드메인', ' 조니 뎁', ' 캐서린 워터스턴', ' 주드 로', ' 에즈라 밀러']"	6.17	7436	134
1342	신비한 동물사전	데이빗 예이츠	"['에디 레드메인', ' 조니 뎁', ' 캐서린 워터스턴', ' 주드 로', ' 에즈라 밀러']"	6.17	7436	134
1343	신서유기 : 몽키킹의 부활	텐 샤오펑	"['성룡', ' 장뢰', ' 임자걸', ' 조연우', ' 오은수', ' 신정훈', ' 박상우', ' 이민형', ' 방지원']"	7.57	69	84
1344	신세계	박훈정	['마르케타 마기도바']	8.94	21802	11
1345	신은 죽지 않았다	해롤드 크론크	"['존 코베트', ' 데이빗 A.R. 화이트', ' 쉐인 하퍼', ' 테드 맥긴리', ' 테이텀 오닐']"	8.3	418	105
1346	신은 죽지 않았다 2	해롤드 크론크	"['멜리사 조안 하트', ' 제시 멧칼피', ' 데이빗 A.R. 화이트', ' 헤일리 오랜티아']"	8.28	395	121
1347	신은 죽지 않았다 3: 어둠 속의 빛	마이클 메이슨	"['존 코베트', ' 데이빗 A.R. 화이트', ' 쉐인 하퍼', ' 테드 맥긴리', ' 테이텀 오닐']"	8.3	418	105
1348	신을 믿습니까?	존 건	"['테드 맥긴리', ' 미라 소르비노', ' 안드레아 로건 화이트']"	8.59	193	120
1349	신의 한 수	조범구	"['권상우', ' 김희원', ' 김성균']"	7.78	8764	106
1350	신의 한 수: 귀수편	리건	"['권상우', ' 김희원', ' 김성균']"	7.78	8764	106
1351	신이 보낸 사람	김진무	['김인권']	8.08	3815	112
1352	심야식당	마츠오카 조지	"['펑위옌', ' 양가휘', ' 류타오']"	8.55	526	102
1353	심야식당 2	마츠오카 조지	['코바야시 카오루']	8.55	526	108
1354	심장이 뛴다	윤재근	"['김윤진', ' 박해일']"	7.53	4372	114
1355	십계: 구원의 길	알렉상드르 아반치니	"['길예르미 윈터', ' 세르지오 마로네', ' 카밀라 로드리게즈', ' 지젤 이티에']"	6.75	79	120
1356	싱 스트리트	존 카니	"['잭 레이너', ' 루시 보인턴', ' 마크 맥케나', ' 퍼디아 월시-필로']"	9.05	4900	106
1357	싱글라이더	이주영	"['이병헌', ' 공효진', ' 안소희']"	8.33	6221	97
1358	싸커 퀸즈	모하메드 하미디	"['카드 므라드', ' 셀린느 살레테', ' 사브리나 와자니', ' 로르 칼라미', ' 알반 이바노프']"	8.05	22	95
1359	써니	강형철	"['시노하라 료코', ' 히로세 스즈', ' 코이케 에이코', ' 토모사카 리에', ' 와타나베 나오미', ' 미우라 하루마', ' 릴리 프랭키']"	8.62	29	119
1360	써니 감독판	강형철	"['유호정', ' 심은경', ' 강소라', ' 고수희', ' 김민영', ' 홍진희', ' 박진주', ' 이연경', ' 남보라', ' 김보미', ' 민효린']"	9.11	18401	124
1361	써커 펀치	잭 스나이더	"['에밀리 브라우닝', ' 애비 코니쉬', ' 지나 말론', ' 바네사 허진스', ' 제이미 정', ' 칼라 구기노', ' 마이클 애덤스웨이트']"	6.97	2838	110
1362	썬더일레븐 극장판 : 최강군단 오우거의 습격	미야오 요시카즈	"['다케우치 준코', ' 노지마 히로후미']"	8.5	230	90
1363	썬키스 패밀리	김지혜	"['박희순', ' 진경', ' 황우슬혜', ' 이고은', ' 장성범', ' 보라', ' 정상훈']"	5.85	502	105
1364	썸니아	마이크 플래너건	"['케이트 보스워스', ' 토마스 제인', ' 안나베스 기쉬', ' 제이콥 트렘블레이']"	7.02	293	97
1365	쎄시봉	김현석	"['정우', ' 김윤석', ' 한효주', ' 김희애', ' 진구', ' 장현성', ' 강하늘', ' 조복래']"	6.16	9071	122
1366	"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?"	신보 아키유키	"['히로세 스즈', ' 스다 마사키', ' 미야노 마모루']"	6.51	925	90
1367	쓰리 빌보드	마틴 맥도나	"['프란시스 맥도맨드', ' 우디 해럴슨', ' 샘 록웰']"	8.79	1814	115
1368	쓰리 썸머 나잇	김상진	"['김동욱', ' 임원희', ' 손호준', ' 윤제문', ' 류현경']"	6.66	1413	106
1369	쓰리데이즈 투 킬	맥지	"['헤일리 스테인펠드', ' 앰버 허드', ' 케빈 코스트너', ' 코니 닐슨']"	7.37	1347	115
1370	씨 오브 트리스	구스 반 산트	"['매튜 맥커너히', ' 나오미 왓츠']"	8.67	69	110
1371	씨 피버	니사 하디만	"['헤르미온느 코필드', ' 코니 닐슨', ' 아르달란 에스마일리', ' 잭 히키', ' 더그레이 스콧']"	5.77	116	93
1372	씽	가스 제닝스	"['파스칼 에글리', ' 아우렐리오 기라델리']"	8.99	7005	20
1373	아가씨	박찬욱	"['김민희', ' 김태리', ' 하정우', ' 조진웅']"	7.15	23677	144
1374	아기 거북 토토의 바다 대모험	닉 스트링거	['미란다 리차드슨']	6.28	32	81
1375	아기곰 보보 구출 대작전	라스무스 A. 실버르센	"['조연우', ' 박상우', ' 신정훈', ' 방지원', ' 오은수', ' 허성재']"	7.54	46	75
1376	아기돼지 3형제와 매직램프	유위	"['윤아영', ' 이소은', ' 최정현', ' 황창영']"	7.02	128	78
1377	아기돼지 3형제와 쿵푸랜드	유위	"['윤아영', ' 이소은', ' 최정현', ' 이규창']"	9.13	132	69
1378	아기와 나	손태겸	"['이이경', ' 정연주']"	6.87	134	113
1379	아내를 죽였다	김하라	"['이시언', ' 안내상', ' 왕지혜']"	5.08	1473	97
1380	아더 우먼	닉 카사베츠	"['니콜라이 코스터-왈도', ' 레슬리 만', ' 카메론 디아즈', ' 케이트 업튼', ' 돈 존슨']"	7.36	380	109
1381	아더와 미니모이 3: 두 세계의 전쟁	뤽 베송	"['프레디 하이모어', ' 페니 밸포어', ' 셀레나 고메즈', ' 루 리드', ' 지미 펄론']"	7.56	140	101
1382	아델라인 : 멈춰진 시간	리 톨랜드 크리거	"['블레이크 라이블리', ' 미치엘 휘즈먼']"	8.23	1011	112
1383	아디오스	파코 카베자스	"['마리오 카사스', ' 나탈리아 드 몰리나', ' 루스 디아즈']"	7.02	57	111
1384	아따맘마 - 극장판	야스미 테츠오	"['와타나베 쿠미코', ' 사카구치 다이스케', ' 오가타 켄이치', ' 오리카사 후미코', ' 손종환', ' 이미자', ' 이계윤', ' 홍범기']"	8.75	248	95
1385	아르고	벤 애플렉	"['벤 애플렉', ' 존 굿맨']"	8.25	1916	120
1386	아마조니아	티에리 라고베르트	['티에리 라고베르트']	8.37	180	82
1387	아메리칸 메이드	더그 라이만	"['톰 크루즈', ' 사라 라이트', ' 도널 글리슨']"	7.76	1947	115
1388	아메리칸 셰프	존 파브로	"['소피아 베르가라', ' 존 파브로', ' 엠제이 안소니', ' 스칼릿 조핸슨', ' 더스틴 호프만', ' 로버트 다우니 주니어']"	8.79	2559	114
1389	아메리칸 스나이퍼	클린트 이스트우드	"['브래들리 쿠퍼', ' 시에나 밀러', ' 제이크 맥더맨', ' 루크 그림즈', ' 카일 갈너']"	8.73	3312	132
1390	아메리칸 울트라	니마 누리자데	"['크리스틴 스튜어트', ' 제시 아이젠버그', ' 코니 브리튼', ' 월튼 고긴스', ' 토퍼 그레이스']"	6.88	1774	95
1391	아무도 없다	존 하이암스	"['줄스 윌콕스', ' 마크 멘차카', ' 안소니 힐드']"	5.74	141	100
1392	아바타 정글의 비밀	슈커	"['장안치', ' 리정샹']"	4.66	106	82
1393	아버지와 이토씨	타나다 유키	"['우에노 주리', ' 릴리 프랭키']"	8.53	182	119
1394	아부의 왕	정승구	"['송새벽', ' 성동일', ' 이병준', ' 김성령', ' 고창석', ' 한채아']"	5.64	1331	118
1395	아빠는 딸	김형협	"['호 타이 화', ' 케이티 응우옌']"	8.06	3359	116
1396	아빠를 빌려드립니다	김덕수	"['김상경', ' 문정희', ' 최다인', ' 채정안', ' 조재윤']"	7.84	886	112
1397	아사코	하마구치 류스케	"['히가시데 마사히로', ' 카라타 에리카']"	7.3	601	120
1398	아수라	김성수	"['소피아 마누샤', ' 이반 곤잘레스', ' 무사 마스크리']"	6.96	28366	92
1399	아우토반	에란 크리비	"['니콜라스 홀트', ' 펠리시티 존스']"	7.69	482	99
1400	아웃포스트	로드 루리	"['올랜도 블룸', ' 스콧 이스트우드', ' 케일럽 랜드리 존스']"	8.87	707	123
1401	아워 바디	한가람	"['최희서', ' 안지혜', ' 김정영']"	6.6	354	95
1402	아워 이디엇 브라더	제시 페레츠	"['주이 디샤넬', ' 엘리자베스 뱅크스', ' 폴 러드', ' 에밀리 모티머']"	8.53	430	90
1403	아이 엠 넘버 포	D.J. 카루소	"['알렉스 페티퍼', ' 티모시 올리펀트', ' 테레사 팔머']"	7.34	3251	103
1404	아이 엠 마더	피에르 모렐	['제니퍼 가너']	7.51	637	102
1405	아이 엠 어 히어로	사토 신스케	"['오오이즈미 요', ' 나가사와 마사미', ' 아리무라 카스미']"	6.39	2037	127
1406	아이 인 더 스카이	개빈 후드	"['아론 폴', ' 헬렌 미렌', ' 앨런 릭먼', ' 바크하드 압디']"	8.25	734	102
1407	아이 캔 스피크	김현석	"['나문희', ' 이제훈']"	9.38	15076	119
1408	"아이, 토냐"	크레이그 질레스피	"['마고 로비', ' 세바스찬 스탠']"	8.5	372	120
1409	아이돌 마스터 무비 : 빛의 저편으로!	니시고리 아츠시	"['나카무라 에리코', ' 하세가와 아키코', ' 이마이 아사미', ' 니고 마야코', ' 아사쿠라 아즈미', ' 히라타 히로미', ' 시모다 아사미', ' 쿠기미야 리에', ' 타카하시 치아키', ' 하라 유미', ' 누마쿠라 마나미']"	7.91	521	121
1410	아이들...	이규만	"['박용우', ' 류승룡', ' 성동일', ' 성지루', ' 김여진']"	7.87	5908	132
1411	아이리시맨	마틴 스코세이지	"['로버트 드 니로', ' 알 파치노', ' 조 페시']"	8.74	1614	209
1412	아이스	올레그 트로핌	"['정이재', ' 김최용준']"	0	0	25
1413	아이스 에이지: 지구 대충돌	마이크 트메이어	"['존 레귀자모', ' 제니퍼 로페즈', ' 아담 드바인', ' 레이 로마노', ' 제시 테일러 퍼거슨']"	8.2	2654	94
1414	아이언 자이언트	브래드 버드	"['제니퍼 애니스톤', ' 엘리 마리엔탈', ' 빈 디젤', ' 크리스토퍼 맥도날드']"	9.33	2076	90
1415	아이엠스타 뮤직어워드	와타다 신야	"['정유정', ' 김새해', ' 김영은', ' 정유미', ' 정혜원', ' 김채하', ' 소연', ' 위훈']"	7.79	265	56
1416	아인	모토히로 카츠유키	"['사토 타케루', ' 아야노 고']"	7.5	531	109
1417	아직 끝나지 않았다	자비에 르그랑	"['레아 드루케', ' 드니 메노셰', ' 토마 지오리아', ' 마틸드 오느뵈']"	8.3	246	93
1418	아쿠아맨	제임스 완	"['앰버 허드', ' 제이슨 모모아', ' 윌렘 대포', ' 패트릭 윌슨', ' 니콜 키드먼', ' 돌프 룬드그렌']"	8.36	19701	143
1419	아키라	오토모 가츠히로	"['소나크시 신하', ' 아미트 사드']"	8.35	761	139
1420	아토믹 블론드	데이빗 레이치	"['샤를리즈 테론', ' 제임스 맥어보이', ' 소피아 부텔라']"	7.9	1612	114
1421	아티스트	미셀 하자나비시우스	"['류현경', ' 박정민', ' 문종원']"	8.14	197	96
1422	아티스트 봉만대	봉만대	"['봉만대', ' 곽현화', ' 성은', ' 이파니']"	7.76	840	101
1423	아티스트: 다시 태어나다	김경원	"['류현경', ' 박정민', ' 문종원']"	8.14	197	96
1424	아틱	조 페나	"['헤수스 마리 라즈카노', ' 조수 베네로']"	8.33	445	17
1425	아프리카 마법여행	조르디 롬파르트	"['레오노르 와틀링', ' 에바 게레슨', ' 레이몬드 불라']"	5.01	146	90
1426	아픈 만큼 사랑한다	임준현	['박누가']	9.84	167	86
1427	아홉 스님	윤성준	"['자승', ' 무연', ' 진각', ' 호산', ' 성곡', ' 재현', ' 심우', ' 도림', ' 인산']"	8.8	358	72
1428	악녀	정병길	"['김옥빈', ' 신하균', ' 성준', ' 김서형', ' 조은지']"	6.97	9408	123
1429	악몽	송정우	"['오지호', ' 차지헌', ' 지성원', ' 신린아']"	5.63	125	100
1430	악셀	레오 리	"['김영선', ' 박소라', ' 장경희']"	4.91	23	91
1431	악의 연대기	백운학	"['이설구', ' 박재훈', ' 송보은', ' 박태산', ' 조운']"	7.6	7427	91
1432	악인전	이원태	"['마동석', ' 김무열', ' 김성규']"	7.87	12008	110
1433	악질경찰	이정범	"['이선균', ' 전소니', ' 박해준']"	5.88	3867	127
1434	안나	뤽 베송	['한정길']	8.64	1810	20
