	영화명	감독	주연배우	평점	평가자수	상영시간
145	군도: 민란의 시대	윤종빈	"['하정우', ' 강동원']"	6.94	25852	137
146	군산: 거위를 노래하다	장률	"['박해일', ' 문소리', ' 정진영', ' 박소담']"	6.77	421	121
147	군함도	류승완	"['황정민', ' 소지섭', ' 송중기', ' 이정현', ' 김수안']"	5.3	53590	132
148	굿 다이노	피터 손	"['레이몬드 오초아', ' 제프리 라이트', ' 프란시스 맥도맨드', ' 스티브 잔', ' 잭 브라이트', ' AJ 버클리', ' 안나 파킨', ' 샘 엘리어트', ' 마커스 스크리브너', ' 데이비드 보트']"	8.79	5332	101
149	굿 라이어	빌 콘돈	"['헬렌 미렌', ' 이안 맥켈런']"	7.93	288	109
150	굿모닝 맨하탄	가우리 신드	"['스리데비', ' 아딜 후세인']"	8.91	457	133
151	굿모닝 에브리원	로저 미첼	"['레이첼 맥아담스', ' 해리슨 포드', ' 다이안 키튼']"	8.36	1136	107
152	굿바이 싱글	김태곤	"['김혜수', ' 마동석', ' 김현수']"	8.1	6767	119
153	궁합	홍창표	"['심은경', ' 이승기']"	6.45	8877	110
154	귀향	조정래	"['박지희', ' 강하나', ' 서미지', ' 홍세나', ' 김시은', ' 최리', ' 정무성', ' 류신', ' 임성철', ' 이승현', ' 남상지']"	7.72	225	96
155	"귀향, 끝나지 않은 이야기"	조정래	"['박지희', ' 강하나', ' 서미지', ' 홍세나', ' 김시은', ' 최리', ' 정무성', ' 류신', ' 임성철', ' 이승현', ' 남상지']"	7.72	225	96
156	그 누구도 아닌	아르노 데 팔리에르	"['아델 에넬', ' 자릴 라스페르', ' 아델 에그자르코풀로스', ' 니콜라스 뒤보셸', ' 젬마 아터튼', ' 솔렌 리곳', ' 베가 쿠지테크']"	5.63	38	111
157	그 사람 그 사랑 그 세상	권혁만	"['강석우', ' 이광기', ' 최강희', ' 배창복']"	9.13	164	82
158	"그 시절, 우리가 좋아했던 소녀"	구파도	"['야마다 유키', ' 사이토 아스카']"	9.02	7255	115
159	그 후	홍상수	"['히어로 파인즈 티핀', ' 조세핀 랭포드', ' 딜란 스프로즈']"	8.01	417	105
160	그것	안드레스 무시에티	"['빌 스카스가드', ' 제임스 맥어보이', ' 제시카 차스테인']"	6.25	3402	169
161	그것: 두 번째 이야기	안드레스 무시에티	"['빌 스카스가드', ' 제임스 맥어보이', ' 제시카 차스테인']"	6.25	3402	169
162	그것만이 내 세상	최성현	"['이병헌', ' 윤여정', ' 박정민']"	8.94	15785	120
163	"그날, 바다"	김지영	['정우성']	8.94	10457	110
164	그날의 분위기	조규장	"['문채원', ' 유연석']"	6.47	3193	103
165	그날이 온다	크리스토퍼 모리스	"['안나 켄드릭', ' 다니엘 브룩스', ' 데니스 오헤어', ' 마샨트 데이비스']"	4.5	12	87
166	그녀	스파이크 존즈	['숀 스타인버그']	8.52	5889	53
